AGENCY,PARENT,2015 US REVENUE,% CHG
Alinean*,Independent,5500,-8.3
NFusion,Independent,5465,-25
Wexley School for Girls,Independent,5429,10.2
Ink,Independent,5333,7.6
BeCore,Independent,5326,36.6
Stephan & Brady,Independent,5309,0.9
Extractable,Independent,5300,29.4
2e Creative,Independent,5294,50
Entree Health Princeton* ,Omnicom,5244,20
O2 Ideas,Independent,5225,-59.5
Mediasmith*,Independent,5215,13.3
San Jose Group,Independent,5201,-8.6
Milici Valenti Ng Pack,Independent,5182,-28.8
ES Advertising,Independent,5174,-25
Allscope Direct,Independent,5173,48.1
Firehouse,Independent,5140,9.6
Love Communications*,Independent,5131,-1.1
Cheil Worldwide,Independent,5086,-11.9
Two by Four,Independent,5041,-1.5
We Are Social* ,BlueFocus Communication Group,5011,5.3
Brokaw,Independent,5008,-12
Bruce Clay,Independent,5004,-8
Fame,Independent,5000,-9.1
Latin3,Independent,5000,0
Aventria Health Group*,Independent,5000,NA
Maier Advertising,Independent,5000,0
Quiet Light Communications*,Independent,5000,0
Nomadic Agency,Independent,5000,19
Magnani Continuum Marketing,Independent,4950,5.3
Small Army,Independent,4915,14.3
CBD Marketing,Independent,4900,16.7
OBI Creative,Independent,4860,-17
GdB (Gabriel deGrood Bendt),Independent,4800,20
Richards/Carlberg,Independent,4800,14
AgencyQ,Independent,4785,8.9
Linhart Public Relations,Independent,4725,-1.9
LatinMedios.com,Independent,4664,52
Baldwin&,Independent,4600,2.2
RP3 Agency,Independent,4600,-14.8
Hanapin Marketing,Independent,4599,8.7
RockOrange,Independent,4594,3.7
Pinta,Independent,4550,40
Oden,Independent,4514,-7.2
Bensimon Byrne,Independent,4508,47.3
Fixation Marketing*,Independent,4500,20
L.C. Williams & Associates*,Independent,4500,-4.6
Turkel Brands,Independent,4500,-23.7
Sandstorm Design,Independent,4450,4.7
BFO,Independent,4448,5.9
Masterminds,Independent,4418,-14.1
Moses,Independent,4375,28.7
SMM Advertising,Independent,4358,-3
New & Improved Media*,Independent,4329,14.7
Catalyst Inc.,Independent,4310,-13.2
Mason*,Independent,4222,5.6
Relevant24* ,Publicis,4202,2.4
Ergo Interactive,Independent,4200,40
BarrettSF,Independent,4200,16.7
Symmetri Marketing Group,Independent,4200,10.1
90octane,Independent,4186,0.6
ADK America ,Asatsu-DK,4172,22.4
Trepoint,Independent,4153,-6.2
Schermer,Independent,4130,-7.8
Go Local Interactive,Independent,4122,30.6
Catalyst Marketing Co.,Independent,4102,5.9
AlPunto Advertising,Independent,4100,0
Grok,Independent,4100,28.1
Della Femina Advertising,Independent,4100,20.6
Tom Dick & Harry Creative Co.,Independent,4100,2.2
Hirons & Co.,Independent,4100,-6
Escape Pod,Independent,4100,7.9
Joule* ,WPP,4079,4
Krause Advertising*,Independent,4070,2.8
Mint Advertising,Independent,4059,0
Weintraub Advertising,Independent,4000,0
GarrandPartners,Independent,4000,-5.1
Spike DDB* ,Omnicom,4000,0
Hoffman Agency,Independent,4000,-1.1
Gold N Fish Marketing Group,Independent,3960,6.1
JeffreyGroup,Independent,3952,25.6
DDW,Independent,3900,50
Civilian* ,MDC Partners,3896,6
Trigger,Independent,3800,-15.6
Backe Digital Brand Marketing,Independent,3766,2.8
Henson Consulting,Independent,3709,35.4
Distillery Project,Independent,3675,13.4
Miller Brooks,Independent,3632,-9.1
Ready Set Rocket,Independent,3618,-9.8
BrandingBusiness,Independent,3606,-3.3
EventNext,Independent,3600,33.3
Unique Influence* ,MDC Partners,3600,50
Crossbow Group,Independent,3575,4.4
R/P Marketing Public Relations,Independent,3564,-1.2
HMH,Independent,3508,-19.2
JumboShrimp,Independent,3500,0
Goldin Solutions*,Independent,3500,16.7
KZSW Advertising,Independent,3500,6.1
Jones Advertising,Independent,3500,25
Meers Advertising,Independent,3495,18.6
Tiziani Whitmyre,Independent,3486,1.8
Coates Kokes,Independent,3475,33
Plan C Agency*,Independent,3445,0
Richter7*,Independent,3429,-14.3
Red House,Independent,3400,6.3
Innis Maggiore Group,Independent,3398,-12.4
Littlefield,Independent,3395,-12.6
Cerrell Associates,Independent,3354,19.2
BoomAgers*,Independent,3330,0
AdFarm,Independent,3315,1.9
Fraser Communications*,Independent,3300,-10.8
Manifold,Independent,3300,32
Walz Tetrick Advertising*,Independent,3280,0
Hispanic Group,Independent,3242,-1.3
Matlock Advertising & Public Relations,Independent,3234,9
BlackWing Creative,Independent,3200,-22.5
Grenadier*,Independent,3200,39.1
M45 Marketing Services*,Independent,3172,2.1
MDB Communications,Independent,3164,-1
ER Marketing*,Independent,3100,6.3
White Rhino Productions,Independent,3050,14.9
Grady Britton,Independent,3032,17.8
Celtic Chicago,Independent,3002,35.5
AY Digital,Independent,3000,-42.3
Again Interactive,Independent,2983,-5.6
Davis Harrison Dion,Independent,2976,5.6
Sudden Impact Marketing,Independent,2954,-24.7
Nemer Fieger*,Independent,2934,0
Trumpet,Independent,2855,2.2
Launch Agency,Independent,2850,9.6
Remerinc,Independent,2833,0
Elemento L2,Independent,2800,-20
Science Project*,Independent,2763,25
Axial*,Independent,2717,11.3
Glass Agency,Independent,2700,3.8
Renegade,Independent,2700,3.8
Right Place Media,Independent,2657,28.3
Ventura Associates International,Independent,2614,3.7
Bigbuzz Marketing Group,Independent,2609,14.7
Pepper Group,Independent,2600,4
Reality Rx Communication,Independent,2600,-7.1
McKee Wallwork & Co.,Independent,2598,-7.3
Draft Agency,Independent,2576,64.4
Abbi Agency,Independent,2510,38.9
SMG (Shopper Marketing Group),Independent,2500,25
COG1,Independent,2500,66.7
Reflex Group,Independent,2500,25
SullivanPerkins,Independent,2500,0
FRWD,Independent,2500,-28.6
TriComB2B,Independent,2488,-19.3
URI Global,Independent,2473,17.1
Princeton Partners,Independent,2460,0.4
JMPR Public Relations,Independent,2451,-3.5
Walrus,Independent,2400,14.3
Hydrogen Advertising,Independent,2379,-20.7
Ohlmann Group,Independent,2350,20.4
Benedict Advertising & Marketing,Independent,2337,17.3
Borenstein Group,Independent,2300,9.5
DGS Marketing Engineers,Independent,2258,-4.2
Tag Strategies*,Independent,2246,0
Object DC*,Independent,2239,6.7
Morrow Media*,Independent,2220,0
Cossette ,BlueFocus Communication Group,2210,72.1
David James Group,Independent,2200,1.8
Inner Circle Labs*,Independent,2192,9.3
Truth & Advertising,Independent,2192,-4
Modern Marketing Partners,Independent,2123,3.8
TMI,Independent,2022,104.2
Goda Advertising,Independent,2000,-33.3
Young Co.,Independent,1939,22.6
Response Capture,Independent,1900,35.7
Tipton & Maglione,Independent,1877,3.9
Greatest Common Factory*,Independent,1825,0
Division of Labor,Independent,1750,26.1
Holtzman Communications,Independent,1750,16.7
FortyTwoEightyNine,Independent,1750,-7.9
Foster Marketing,Independent,1719,-19.8
Diaz & Cooper,Independent,1700,70
Sacunas,Independent,1683,25.4
Heinzeroth Marketing Group,Independent,1675,18.8
FitzMartin,Independent,1641,-19.2
Oink Ink,Independent,1600,23.1
LP&M Advertising,Independent,1573,2.5
Vizion Interactive,Independent,1549,7.7
Boomm Marketing & Communications,Independent,1530,17.7
Pilgrim,Independent,1503,-17.5
Forever Beta,Independent,1500,200
Jess3,Independent,1500,-28.6
Antarctic,Independent,1500,25
John Doe,Independent,1475,48
Construction Marketing Advisors,Independent,1469,6.9
Simon Group,Independent,1466,-8.6
TotalCom,Independent,1452,-4.8
Villing & Co.*,Independent,1436,0
Red7e,Independent,1333,-0.5
Beyond Total Branding,Independent,1260,0
MLT Creative,Independent,1250,-16.7
ENA Marketing Communications,Independent,1200,-33.3
Fancy Rhino,Independent,1170,-15.4
Winsper,Independent,1100,-63.3
J-U Carter*,Independent,1100,0
Sonnhalter,Independent,1088,3.6
Freebairn & Co.,Independent,1050,-19.2
Huntsinger & Jeffer,Independent,1049,-17.7
White Good,Independent,1027,-6.7
Catalyst Marketing Communications,Independent,1006,-3.1
Tzeffrey & Tzanetos,Independent,1000,0
BSY Associates,Independent,1000,0
Hakuhodo* ,Hakuhodo DY Holdings,1000,NA
Glyphix,Independent,1000,11.1
Munn Rabot,Independent,964,-11.9
Mandala,Independent,908,-4.4
Fusion B2B,Independent,865,-17.1
Media Pros of WNY*,Independent,853,0
Mighty Fudge Studios,Independent,761,30.1
Oster & Associates,Independent,585,-3.9
TSA Communications,Independent,510,2.2
LP&G,Independent,495,-2.3
GoDiversity,Independent,450,80
Hudson Media Services,Independent,375,5.6
Graphicmachine,Independent,333,7.6
Griff/SMC Medical Marketing Communications,Independent,104,38.8
