COMPANY-TYPE,ITEM,TAX-STATUS,EMPLOYER,2015 Revenue,2014 Revenue,2013 Revenue,2012 Revenue,2011 Revenue,2010 Revenue,2009 Revenue,2008 Revenue,2007 Revenue
Urban Transit Systems ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5596,5443,5178,4940,4718,4460,4855,0,0
Interurban and Rural Bus Transportation ,Revenue ,All Establishments ,Employer Firms ,1146,1188,1175,1151,1106,1037,1205,0,0
Interurban and Rural Bus Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1146,1188,1175,1151,1106,1037,1205,0,0
Taxi Service ,Revenue ,All Establishments ,Employer Firms ,2678,2640,2558,2477,2359,2225,2090,0,0
Taxi Service ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2678,2640,2558,2477,2359,2225,2090,0,0
Limousine Service ,Revenue ,All Establishments ,Employer Firms ,4564,4572,4361,4138,3893,3554,3256,0,0
Limousine Service ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4564,4572,4361,4138,3893,3554,3256,0,0
School and Employee Bus Transportation ,Revenue ,All Establishments ,Employer Firms ,10939,10355,9851,9444,8974,8628,9155,0,0
School and Employee Bus Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,10939,10355,9851,9444,8974,8628,9155,0,0
Charter Bus Industry ,Revenue ,All Establishments ,Employer Firms ,3439,3273,3166,3078,2941,2888,2707,0,0
Charter Bus Industry ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3439,3273,3166,3078,2941,2888,2707,0,0
Other Transit and Ground Passenger Transportation ,Revenue ,All Establishments ,Employer Firms ,5669,5498,5018,4727,4403,4108,4258,0,0
Other Transit and Ground Passenger Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5669,5498,5018,4727,4403,4108,4258,0,0
Pipeline Transportation ,Revenue ,All Establishments ,Employer Firms ,43764,41852,38813,36484,34973,33069,30376,0,0
Pipeline Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,43764,41852,38813,36484,34973,33069,30376,0,0
Pipeline Transportation of Crude Oil ,Revenue ,All Establishments ,Employer Firms ,10004,9029,7863,6801,5471,5004,4069,0,0
Pipeline Transportation of Crude Oil ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,10004,9029,7863,6801,5471,5004,4069,0,0
Pipeline Transportation of 0tural Gas ,Revenue ,All Establishments ,Employer Firms ,25230,25097,23782,22987,22973,21831,20428,0,0
Pipeline Transportation of 0tural Gas ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,25230,25097,23782,22987,22973,21831,20428,0,0
Pipeline Transportation of Refined Petroleum Products ,Revenue ,All Establishments ,Employer Firms ,8227,7451,6869,6417,6263,5993,5635,0,0
Pipeline Transportation of Refined Petroleum Products ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,8227,7451,6869,6417,6263,5993,5635,0,0
All Other Pipeline Transportation ,Revenue ,All Establishments ,Employer Firms ,303,275,299,279,266,241,244,0,0
All Other Pipeline Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,303,275,299,279,266,241,244,0,0
Scenic and Sightseeing Transportation ,Revenue ,All Establishments ,Employer Firms ,3666,3368,3271,3093,2765,2545,2401,0,0
Scenic and Sightseeing Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3666,3368,3271,3093,2765,2545,2401,0,0
"Scenic and Sightseeing Transportation, Land ",Revenue ,All Establishments ,Employer Firms ,1084,1027,1029,1010,941,903,863,0,0
"Scenic and Sightseeing Transportation, Land ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,1084,1027,1029,1010,941,903,863,0,0
"Scenic and Sightseeing Transportation, Water ",Revenue ,All Establishments ,Employer Firms ,1906,1727,1669,1580,1356,1236,1151,0,0
"Scenic and Sightseeing Transportation, Water ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,1906,1727,1669,1580,1356,1236,1151,0,0
"Scenic and Sightseeing Transportation, Other ",Revenue ,All Establishments ,Employer Firms ,676,614,573,503,468,406,387,0,0
"Scenic and Sightseeing Transportation, Other ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,676,614,573,503,468,406,387,0,0
Support Activities for Transportation ,Revenue ,All Establishments ,Employer Firms ,177816,167478,153744,144749,137706,125423,113262,0,0
Support Activities for Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,177816,167478,153744,144749,137706,125423,113262,0,0
Airport Operations ,Revenue ,All Establishments ,Employer Firms ,7936,7709,7022,6929,6599,5699,5518,0,0
Airport Operations ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7936,7709,7022,6929,6599,5699,5518,0,0
Other Support Activities for Air Transportation ,Revenue ,All Establishments ,Employer Firms ,16826,16723,16217,15546,15270,15072,14238,0,0
Other Support Activities for Air Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,16826,16723,16217,15546,15270,15072,14238,0,0
Support Activities for Rail Transportation ,Revenue ,All Establishments ,Employer Firms ,5781,5238,5213,4836,4495,3945,3692,0,0
Support Activities for Rail Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5781,5238,5213,4836,4495,3945,3692,0,0
Port and Harbor Operations ,Revenue ,All Establishments ,Employer Firms ,2809,2625,2565,2359,2010,1856,1798,0,0
Port and Harbor Operations ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2809,2625,2565,2359,2010,1856,1798,0,0
Marine Cargo Handling ,Revenue ,All Establishments ,Employer Firms ,10782,10034,9046,8904,8218,7572,7302,0,0
Marine Cargo Handling ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,10782,10034,9046,8904,8218,7572,7302,0,0
0vigatio0l Services to Shipping ,Revenue ,All Establishments ,Employer Firms ,3503,3426,3349,3168,2960,2886,2659,0,0
0vigatio0l Services to Shipping ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3503,3426,3349,3168,2960,2886,2659,0,0
Other Support Activities for Water Transportation ,Revenue ,All Establishments ,Employer Firms ,2434,2398,2183,2056,2055,2054,1953,0,0
Other Support Activities for Water Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2434,2398,2183,2056,2055,2054,1953,0,0
Motor Vehicle Towing ,Revenue ,All Establishments ,Employer Firms ,6016,5795,5376,5109,5071,5040,4776,0,0
Motor Vehicle Towing ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6016,5795,5376,5109,5071,5040,4776,0,0
Other Support Activities for Road Transportation ,Revenue ,All Establishments ,Employer Firms ,3396,2962,2577,2402,2203,2115,2030,0,0
Other Support Activities for Road Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3396,2962,2577,2402,2203,2115,2030,0,0
Freight Transportation Arrangement ,Revenue ,All Establishments ,Employer Firms ,116044,108392,98108,91455,86881,77359,67520,0,0
Freight Transportation Arrangement ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,116044,108392,98108,91455,86881,77359,67520,0,0
Other Support Activities for Transportation ,Revenue ,All Establishments ,Employer Firms ,2289,2176,2088,1985,1944,1825,1776,0,0
Other Support Activities for Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2289,2176,2088,1985,1944,1825,1776,0,0
Couriers and Messengers ,Revenue ,All Establishments ,Employer Firms ,78424,75118,71570,69362,67947,63855,64429,76164,77877
Couriers and Messengers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,78424,75118,71570,69362,67947,63855,64429,76164,77877
Couriers and Express Delivery Services ,Revenue ,All Establishments ,Employer Firms ,74117,71280,67849,65801,64723,60917,61644,72879,74392
Couriers and Express Delivery Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,74117,71280,67849,65801,64723,60917,61644,72879,74392
Local Messengers and Local Delivery ,Revenue ,All Establishments ,Employer Firms ,4307,3838,3721,3561,3224,2938,2785,3285,3485
Local Messengers and Local Delivery ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4307,3838,3721,3561,3224,2938,2785,3285,3485
Warehousing and Storage ,Revenue ,All Establishments ,Employer Firms ,31384,30377,29532,28494,26642,24874,22874,23319,21921
Warehousing and Storage ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,31384,30377,29532,28494,26642,24874,22874,23319,21921
General Warehousing and Storage ,Revenue ,All Establishments ,Employer Firms ,19486,18864,18272,17617,16857,15966,15181,15883,15187
General Warehousing and Storage ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,19486,18864,18272,17617,16857,15966,15181,15883,15187
Refrigerated Warehousing and Storage ,Revenue ,All Establishments ,Employer Firms ,0,4310,4071,4098,3973,4083,3498,3502,3391
Refrigerated Warehousing and Storage ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,0,4310,4071,4098,3973,4083,3498,3502,3391
Farm Product Warehousing and Storage ,Revenue ,All Establishments ,Employer Firms ,786,726,754,738,771,698,769,884,864
Farm Product Warehousing and Storage ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,786,726,754,738,771,698,769,884,864
Other Warehousing and Storage ,Revenue ,All Establishments ,Employer Firms ,6698,6477,6435,6041,5041,4127,3426,3050,2479
Other Warehousing and Storage ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6698,6477,6435,6041,5041,4127,3426,3050,2479
Information4 ,Revenue ,All Establishments ,Employer Firms ,1405882,1351616,1284064,1238463,1177025,1118055,1077707,1108485,1072342
Information4 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1405882,1351616,1284064,1238463,1177025,1118055,1077707,1108485,1072342
Publishing Industries (except Internet) ,Revenue ,All Establishments ,Employer Firms ,293771,291575,279253,272152,270879,260795,260168,282369,282223
Publishing Industries (except Internet) ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,293771,291575,279253,272152,270879,260795,260168,282369,282223
Newspaper Publishers ,Revenue ,All Establishments ,Employer Firms ,26550,28112,28512,29790,31527,33360,35366,43383,47563
Newspaper Publishers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,26550,28112,28512,29790,31527,33360,35366,43383,47563
Periodical Publishers ,Revenue ,All Establishments ,Employer Firms ,28314,29378,29185,29338,30641,31876,34340,42520,46003
Periodical Publishers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,28314,29378,29185,29338,30641,31876,34340,42520,46003
Book Publishers ,Revenue ,All Establishments ,Employer Firms ,27676,26891,26720,26732,27467,27735,27147,27904,27807
Book Publishers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,27676,26891,26720,26732,27467,27735,27147,27904,27807
Directory and Mailing List Publishers ,Revenue ,All Establishments ,Employer Firms ,8214,8602,8265,10118,11224,11987,15563,17809,18515
Directory and Mailing List Publishers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,8214,8602,8265,10118,11224,11987,15563,17809,18515
Greeting Card Publishers ,Revenue ,All Establishments ,Employer Firms ,3457,3501,3585,3684,3792,3829,3845,4434,4779
Greeting Card Publishers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3457,3501,3585,3684,3792,3829,3845,4434,4779
All Other Publishers ,Revenue ,All Establishments ,Employer Firms ,1219,1269,1252,1415,1438,1549,1670,2071,2155
All Other Publishers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1219,1269,1252,1415,1438,1549,1670,2071,2155
Software Publishers ,Revenue ,All Establishments ,Employer Firms ,198341,193822,181734,171075,164790,150459,142237,144248,135401
Software Publishers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,198341,193822,181734,171075,164790,150459,142237,144248,135401
Motion Picture and Sound Recording Industries ,Revenue ,All Establishments ,Employer Firms ,98982,94745,95084,91974,89141,90108,87044,93591,94986
Motion Picture and Sound Recording Industries ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,98982,94745,95084,91974,89141,90108,87044,93591,94986
Motion Picture and Video Production and Distribution3 ,Revenue ,All Establishments ,Employer Firms ,64434,62831,64504,61886,59628,59411,55825,61138,61911
Motion Picture and Video Production and Distribution3 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,64434,62831,64504,61886,59628,59411,55825,61138,61911
Motion Picture and Video Exhibition ,Revenue ,All Establishments ,Employer Firms ,15787,14563,14144,13544,12459,12869,12908,12589,12705
Motion Picture and Video Exhibition ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,15787,14563,14144,13544,12459,12869,12908,12589,12705
Teleproduction and Other Postproduction Services ,Revenue ,All Establishments ,Employer Firms ,5500,5212,4922,4815,4954,4623,4067,4331,4379
Teleproduction and Other Postproduction Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5500,5212,4922,4815,4954,4623,4067,4331,4379
Other Motion Picture and Video Industries ,Revenue ,All Establishments ,Employer Firms ,398,448,379,517,553,617,665,709,802
Other Motion Picture and Video Industries ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,398,448,379,517,553,617,665,709,802
Record Production ,Revenue ,All Establishments ,Employer Firms ,392,338,297,214,267,289,318,296,338
Record Production ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,392,338,297,214,267,289,318,296,338
Integrated Record Production and Distribution ,Revenue ,All Establishments ,Employer Firms ,5765,5077,5032,5408,5794,6991,7772,8489,9082
Integrated Record Production and Distribution ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5765,5077,5032,5408,5794,6991,7772,8489,9082
Music Publishers ,Revenue ,All Establishments ,Employer Firms ,5054,4732,4314,4176,4094,3964,4275,4769,4466
Music Publishers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5054,4732,4314,4176,4094,3964,4275,4769,4466
Sound Recording Studios ,Revenue ,All Establishments ,Employer Firms ,1086,1002,951,913,885,848,755,813,854
Sound Recording Studios ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1086,1002,951,913,885,848,755,813,854
Other Sound Recording Industries ,Revenue ,All Establishments ,Employer Firms ,566,542,541,501,507,496,459,0,449
Other Sound Recording Industries ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,566,542,541,501,507,496,459,0,449
Broadcasting (except Internet) ,Revenue ,All Establishments ,Employer Firms ,148462,140792,131413,126722,117278,110734,101052,105604,99919
Broadcasting (except Internet) ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,148462,140792,131413,126722,117278,110734,101052,105604,99919
Radio Networks ,Revenue ,All Establishments ,Employer Firms ,6509,6011,5703,5158,4773,4626,4144,4263,4124
Radio Networks ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6509,6011,5703,5158,4773,4626,4144,4263,4124
Radio Stations ,Revenue ,All Establishments ,Employer Firms ,12445,12397,12523,12842,12500,12313,11768,13978,14871
Radio Stations ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,12445,12397,12523,12842,12500,12313,11768,13978,14871
Television Broadcasting ,Revenue ,All Establishments ,Employer Firms ,50577,49911,44782,45126,40125,38926,33895,37878,35998
Television Broadcasting ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,50577,49911,44782,45126,40125,38926,33895,37878,35998
Cable and Other Subscription Programming ,Revenue ,All Establishments ,Employer Firms ,78931,72473,68405,63596,59880,54869,51245,49485,44926
Cable and Other Subscription Programming ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,78931,72473,68405,63596,59880,54869,51245,49485,44926
Telecommunications4 ,Revenue ,All Establishments ,Employer Firms ,601970,588172,558935,545594,530490,510499,500691,506282,491124
Telecommunications4 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,601970,588172,558935,545594,530490,510499,500691,506282,491124
Wired Telecommunications Carriers5 ,Revenue ,All Establishments ,Employer Firms ,306384,296792,288647,285663,284810,281149,282508,293473,290781
Wired Telecommunications Carriers5 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,306384,296792,288647,285663,284810,281149,282508,293473,290781
Wireless Telecommunications Carriers (except Satellite)6 ,Revenue ,All Establishments ,Employer Firms ,254406,251766,233123,225397,214361,199235,188042,182581,170584
Wireless Telecommunications Carriers (except Satellite)6 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,254406,251766,233123,225397,214361,199235,188042,182581,170584
Satellite Telecommunications ,Revenue ,All Establishments ,Employer Firms ,6926,6729,6920,6802,6284,5897,5575,4938,4450
Satellite Telecommunications ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6926,6729,6920,6802,6284,5897,5575,4938,4450
Telecommunications Resellers7 ,Revenue ,All Establishments ,Employer Firms ,18708,17595,16263,14645,12914,11898,11469,11841,11853
Telecommunications Resellers7 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,18708,17595,16263,14645,12914,11898,11469,11841,11853
All Other Telecommunications8 ,Revenue ,All Establishments ,Employer Firms ,15546,15290,13982,13087,12121,12320,13097,13449,13456
All Other Telecommunications8 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,15546,15290,13982,13087,12121,12320,13097,13449,13456
"Data Processing, Hosting, and Related Services4 ",Revenue ,All Establishments ,Employer Firms ,129957,120450,116040,107994,95168,85201,77278,74284,66652
"Data Processing, Hosting, and Related Services4 ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,129957,120450,116040,107994,95168,85201,77278,74284,66652
Other Information Services4 ,Revenue ,All Establishments ,Employer Firms ,132740,115882,103339,94027,74069,60718,51474,46355,37438
Other Information Services4 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,132740,115882,103339,94027,74069,60718,51474,46355,37438
News Syndicates ,Revenue ,All Establishments ,Employer Firms ,2042,1898,1935,1959,1894,1754,1809,2017,2140
News Syndicates ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2042,1898,1935,1959,1894,1754,1809,2017,2140
Libraries and Archives ,Revenue ,All Establishments ,Employer Firms ,2514,2496,2435,2180,2351,2044,2112,2077,1854
Libraries and Archives ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2514,2496,2435,2180,2351,2044,2112,2077,1854
Internet Publishing and Broadcasting and Web Search Portals9 ,Revenue ,All Establishments ,Employer Firms ,125868,109414,96951,87946,68049,54976,45438,39959,31094
Internet Publishing and Broadcasting and Web Search Portals9 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,125868,109414,96951,87946,68049,54976,45438,39959,31094
All Other Information Services ,Revenue ,All Establishments ,Employer Firms ,2316,2074,2018,1942,1775,1944,2115,2302,2350
All Other Information Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2316,2074,2018,1942,1775,1944,2115,2302,2350
Fi0nce and Insurance10 ,Revenue ,All Establishments ,Employer Firms ,4101306,3948185,3727937,3636116,3517253,3495664,3524271,0,0
Fi0nce and Insurance10 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4101306,3948185,3727937,3636116,3517253,3495664,3524271,0,0
Monetary Authorities-Central Bank ,Revenue ,All Establishments ,Employer Firms ,113067,113895,90220,100171,87716,88189,62344,0,0
Monetary Authorities-Central Bank ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,113067,113895,90220,100171,87716,88189,62344,0,0
Credit Intermediation and Related Activities ,Revenue ,All Establishments ,Employer Firms ,1104812,1074966,1085112,1095193,1111349,1161282,1255002,0,0
Credit Intermediation and Related Activities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1104812,1074966,1085112,1095193,1111349,1161282,1255002,0,0
Commercial Banking ,Revenue ,All Establishments ,Employer Firms ,391465,384653,383281,390155,393342,407929,422638,0,0
Commercial Banking ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,391465,384653,383281,390155,393342,407929,422638,0,0
Savings Institutions ,Revenue ,All Establishments ,Employer Firms ,0,0,35753,0,44030,48243,50983,0,0
Savings Institutions ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,0,0,35753,0,44030,48243,50983,0,0
Credit Unions ,Revenue ,All Establishments ,Employer Firms ,53379,49945,49792,49987,47532,47677,49992,0,0
Credit Unions ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,53379,49945,49792,49987,47532,47677,49992,0,0
Other Depository Credit Intermediation ,Revenue ,All Establishments ,Employer Firms ,0,0,917,0,888,912,889,0,0
Other Depository Credit Intermediation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,0,0,917,0,888,912,889,0,0
Credit Card Issuing ,Revenue ,All Establishments ,Employer Firms ,85065,83598,87378,81763,82174,81454,82294,0,0
Credit Card Issuing ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,85065,83598,87378,81763,82174,81454,82294,0,0
Sales Fi0ncing ,Revenue ,All Establishments ,Employer Firms ,104874,97314,89919,83389,82017,89541,95841,0,0
Sales Fi0ncing ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,104874,97314,89919,83389,82017,89541,95841,0,0
