Status,Published Date,Category,Published Title,URL,3 Step Buyers Journey,Gated,Content Type,
Published,1/6/16,Path to Composable,Why Composable Infrastructure is the best infrastructure for DevOps,http://community.hpe.com/t5/Converged-Data-Center/Why-Composable-Infrastructure-is-the-best-infrastructure-for/ba-p/6821920,,,blog post,
Published,12/10/15,Path to Composable,Composable Infrastructure: Flexible Optimization of IT Resources for Specific Applications,http://community.hpe.com/t5/Converged-Data-Center/Composable-Infrastructure-Flexible-Optimization-of-IT-Resources/ba-p/6817440,,,blog post,
Published,12/8/15,Path to Composable,A quick reference for the Composable Infrastructure Bill of Rights,http://community.hpe.com/t5/Converged-Data-Center/A-quick-reference-for-the-Composable-Infrastructure-Bill-of/ba-p/6816269,,,blog post,
Published,12/8/15,Path to Composable,Choosing the ideal composable infrastructure for your DevOps team,http://h22228.www2.hpe.com/video-gallery/us/en/products/351095A0-37FD-4CE0-9EC0-9D7CA75D8E10/r/video/,Earned Attention,No,video,
Published,12/3/15,Path to Composable,Composable Infrastructure – rising above the rhetoric,http://community.hpe.com/t5/Converged-Data-Center/Composable-Infrastructure-rising-above-the-rhetoric/ba-p/6815948,,,blog post,
Published,12/3/15,Path to Composable,HPE Synergy Introduction video (aka Discover Launch video),https://www.youtube.com/watch?v=iE-spGCMIes,,No,video,
Published,12/2/15,Path to Composable,Accelerate time-to-value with infrastructure as code,http://community.hpe.com/t5/Infrastructure-Insights/Accelerate-IT-time-to-value-with-infrastructure-as-code/ba-p/6815617,,,blog post,
Published,12/1/15,Path to Composable,IDC Building a Bridge to the 3rd Platform with HPE Composable Infrastructure,http://h20195.www2.hpe.com/V2/GetDocument.aspx?docname=4AA6-2191ENW&cc=us&lc=en,Earned Attention,No,analyst paper,
Published,12/1/15,Path to Composable,Imagine conducting your infrastructure like a symphony orchestra,http://community.hpe.com/t5/Converged-Data-Center/Imagine-conducting-your-infrastructure-like-a-symphony-orchestra/ba-p/6813877,,,blog post,
Published,12/1/15,Path to Composable,A Composable Infrastructure Bill of Rights,http://community.hpe.com/t5/Converged-Data-Center/A-Composable-Infrastructure-Bill-of-Rights/ba-p/6813878,,,blog post,
Published,12/1/15,Path to Composable,Imagine conducting your infrastructure like a symphony orchestra,http://community.hpe.com/t5/Converged-Data-Center/Imagine-conducting-your-infrastructure-like-a-symphony-orchestra/ba-p/6813877,,,blog post,
Published,12/1/15,Path to Composable,A Composable Infrastructure Bill of Rights,http://community.hpe.com/t5/Converged-Data-Center/A-Composable-Infrastructure-Bill-of-Rights/ba-p/6813878,,,blog post,
Published,12/1/15,Path to Composable,Speed delivery of IT Services with Composable Infrastructure -  Cloud and DevOps (Solution brochure),http://h20195.www2.hpe.com/V2/GetDocument.aspx?docname=4AA6-2197ENW&cc=us&lc=en,Earned Attention,No,brochure,
Published,12/1/15,Path to Composable,Unlock value and accelerate success with Composable Infrastructure - IT Infrastructure/Data Mgmt (Solution brochure),http://h20195.www2.hpe.com/V2/GetDocument.aspx?docname=4AA6-2196ENW&cc=us&lc=en,Earned Attention,No,brochure,
Published,12/1/15,Path to Composable,HPE Synergy in Two Minutes video,https://www.youtube.com/watch?v=8tbNdGa2iS0,,No,video,
Published,12/1/15,Path to Composable,A Compelling On-Premises Alternative to Public Cloud,http://h20195.www2.hpe.com/V2/GetDocument.aspx?docname=4AA6-2194ENW&cc=us&lc=en,Earned Attention,No,white paper,
Published,11/30/15,Path to Composable,Composable Infrastructure: evolution beyond convergence,http://community.hpe.com/t5/Converged-Data-Center/Composable-Infrastructure-evolution-beyond-convergence/ba-p/6814976,,,blog post,
Published,11/30/15,Path to Composable,Composable Infrastructure: evolution beyond convergence,http://community.hpe.com/t5/Converged-Data-Center/Composable-Infrastructure-evolution-beyond-convergence/ba-p/6814976,,,blog post,
Published,11/25/15,Path to Composable,Building an Agile Infrastructure for DevOps,http://h20195.www2.hpe.com/V2/GetDocument.aspx?docname=4AA6-2192ENW&cc=us&lc=en,Earned Attention,No,analyst paper,
Published,11/20/15,Path to Composable,Beyond Convergence: Stepping up to composable infrastructure,http://www.enterprisecioforum.com/beyond-convergence-stepping-up-to-composable-infrastructure/,,,blog post,
Published,11/16/15,Path to Composable,Cisco’s composable infrastructure? That’s not a knife. This is a knife.,http://community.hpe.com/t5/Converged-Data-Center/Cisco-s-composable-infrastructure-That-s-not-a-knife-This-is-a/ba-p/6811136,,,blog post,
Published,11/16/15,Path to Composable,Automated Deployment of Docker Hosts on Bare-metal Infrastructure Tech White paper,http://h20195.www2.hpe.com/V2/GetDocument.aspx?docname=4AA6-2595ENW&cc=us&lc=en,Earned Attention,No,white paper,
Published,11/9/15,Path to Composable,Gear up for the Idea Economy with Composable Infrastructure,http://community.hpe.com/t5/Converged-Data-Center/Gear-up-for-the-Idea-Economy-with-Composable-Infrastructure/ba-p/6809918,,,blog post,
Published,11/9/15,Path to Composable,Easily navigate business disruptions with Composable Infrastructure,http://community.hpe.com/t5/Converged-Data-Center/Easily-Navigate-Business-Disruptions-with-Composable/ba-p/6809154,,,blog post,
Published,10/30/15,Path to Composable,Composable Infrastructure: Bridge to the Idea Economy,http://www.enterprisecioforum.com/composable-infrastructure-bridge-to-the-idea-economy/,,,blog post,
Published,10/22/15,Path to Composable,How to emulate the Cloud Giants,http://h30499.www3.hp.com/t5/Converged-Data-Center/How-to-emulate-the-Cloud-Giants/ba-p/6804799,,,blog post,
Published,10/17/15,Path to Composable,Gaining the efficiency of Cloud Giants,http://www.enterprisecioforum.com/gaining-the-efficiency-of-cloud-giants/,,,blog post,
Published,10/16/15,Path to Composable,Achieving the speed and agility of cloud giants (video),http://h20621.www2.hp.com/video-gallery/us/en/products/servers/EMV5A06/r/video/,Earned Attention,No,video,
Published,10/15/15,Path to Composable,Frost & Sullivan How the Right Infrastructure can Prepare the Data Center for Business Disruptors,http://h20195.www2.hp.com/V2/GetDocument.aspx?docname=4AA6-2190ENW&cc=us&lc=en,Earned Attention,No,analyst paper,
Published,10/2/15,Path to Composable,Off of Your Cloud: 5 Strategies to Transform On-Premises Infrastructure,http://h30499.www3.hp.com/t5/Converged-Data-Center/Off-of-Your-Cloud-5-Strategies-to-Transform-On-Premises/ba-p/6798707,,,blog post,
Published,9/4/15,Core Support,HP OneView Versus Cisco UCS Manager – a tale of two architectures,http://h20621.www2.hp.com/video-gallery/us/en/products/blades/EMV5905/r/video/,Engage & Persuade,No,video,
Published,9/1/15,Path to Composable,Achieving the speed and agility of cloud giants (HP white paper),http://www8.hp.com/h20195/v2/GetDocument.aspx?docname=4AA6-1344ENW,Earned Attention,No,white paper,
Published,8/31/15,Path to Composable,"Fast, Fluid, and Flexible: Building Agile IT with Infrastructure as Code",http://community.hpe.com/t5/Infrastructure-Insights/Fast-Fluid-and-Flexible-Building-Agile-IT-with-Infrastructure-as/ba-p/6807043#.Vl4GsE2FN9A,,,,
Published,7/28/15,Path to Composable,Did the Converged Infrastructure pendulum swing too far?,http://h30507.www3.hp.com/t5/Converged-Infrastructure/Did-the-Converged-Infrastructure-pendulum-swing-too-far/ba-p/185980,Engage & Persuade,No,blog post,
,,,,,,,,
,,,,,,,,
