COMPANY-NAME,STATUS,CITY,STATE,EMPLOYEE-RANGE,EMPLOYEE-AVERAGE,COUNTRY,ESTIMATED-REVENUE
MOTIVE,private,NY,NY,50-200,125,USA,31250000
MVP COLLABORATIVE,private,Madison Heights,MI,11-50,30.5,USA,7625000
NA COLLECTIVE,private,NY,NY,11-50,30.5,USA,7625000
NCOMPASS,private,West Hollywood,CA,50-200,125,USA,31250000
NEWBRIDGE LIVE,private,Portland,ME,11-50,30.5,USA,7625000
NEXT MARKETING,independent,Atlanta,GA,11-50,30.5,USA,7625000
NVE,private,Beverly Hills,CA,17,17,USA,4250000
OCTAGON,public,McLean,VA,800,800,USA,200000000
ON BOARD EXPERIENTIAL,private,Sausalito,CA,50-200,125,USA,31250000
OPUS AGENCY,private,Beaverton,OR,50-200,125,USA,31250000
PERFORMANCE MARKETING GROUP,private,Indianapolis,IN,50-200,125,USA,31250000
PGW EXPERIENCE,owned by CAA,Los Angeles,CA,50-200,125,USA,31250000
POP2LIFE,private,NY,NY,11-50,30.5,USA,7625000
PROSCENIUM,partership,NY,NY,11-50,30.5,USA,7625000
REDPEG MARKETING,private in a collective,Alexandria,VA,50-200,125,USA,31250000
REVEL,private,Muskegon,MI,11-50,30.5,USA,7625000
REVOLUTION,independent,Chicago,IL,50-200,125,USA,31250000
SET,public,Portland,OR,50-200,125,USA,31250000
SOHO EXPERIENTIAL,private,NY,NY,11-50,30.5,USA,7625000
SPARKS,private,Philadelphia,PA,200-500,350,USA,87500000
SUPERFLY,private,NY,NY,50-200,125,USA,31250000
SWITCH,private,st. louis,MO,50-200,125,USA,31250000
SYNERGY,private,Ocean,NJ,50-200,125,USA,31250000
THE TAYLOR GROUP,private,Brampton,Ontario,200-500,350,CANADA,87500000
TOUCH WORLDWIDE,private,Seattle,WA,50-200,125,USA,31250000
TRACK MARKETING GROUP,private,NY,NY,11-50,30.5,USA,7625000
UNITED ENTERTAINMENT GROUP,owned by Edelman,NY,NY,50-200,125,USA,31250000
THE VISIONARY GROUP,private,Los Angeles,CA,35,35,USA,8750000
WASSERMAN,private,Los Angeles,CA,500+,500,USA,125000000
