company,ownership,city,state,tags
infinity marketing team,independent,Culver City,CA,all launch-events mobile-tours sponsorship-activation
infrared,owned by Red Peak Group,NY,NY,all b-to-b-meetingsevents incentive-travel sponsorship-activation
inspira marketing group,independent,Norwalk,CT,all mobile-tours nightlife-marketing pop-up-stores
invision communications,private,Walnut Creek,CA,all b-to-b-meetingsevents internal-employee-events sales-conferencesmeetings
invnt,public,NY,NY,all b-to-b-meetingsevents pr-events worldwide-event-programs
jack morton worldwide,public,NY,NY,all b-to-b-meetingsevents launch-events sponsorship-activation
kenwood experiences,private,san francisco,CA,all b-to-b-meetingsevents developer-conferencesevents launch-events
kicking cow,private,st. louis,MO,all b-to-b-meetingsevents buzz-influencer-programs mobile-tours
kubik,private,toronto,Ontario,all corporate-visitorexperience-centers trade-shows worldwide-event-programs
legacy marketing,private,Chicago,IL,all buzz-influencer-programs mobile-tours nightlife-marketing
leo events,private,Memphis,TN,all b-to-b-meetingsevents sales-conferencesmeetings worldwide-event-programs
mac presents,private,NY,NY,all b-to-b-meetingsevents buzz-influencer-programs sponsorship-activation
magnetic collaborative,private,NY,NY,all b-to-b-meetingsevents launch-events pr-events
manifesto,private,Portland,OR,all internal-employee-events launch-events worldwide-event-programs
manifold,private,san francisco,CA,all buzz-influencer-programs developer-conferencesevents mobile-tours
the marketing arm,public,Dallas,TX,all college-campus-marketing mobile-tours sponsorship-activation
marketing factory,private,Los Angeles,CA,all digitalsocial-program-creation internal-employee-events sponsorship-activation
marketing werks,owned by Crossmark,Chicago,IL,all guerrilla-street-programs mobile-tours sponsorship-activation
match marketing group,private,Norwalk,CT,all automotive-launches-and-personal-drive-experiences buzz-influencer-programs sponsorship-activation
the michael alan group,private,NY,NY,all b-to-b-meetingsevents mobile-tours press-events
mirrorball,private,NY,NY,all launch-events pr-events sponsorship-activation
mirrored media,private,Santa Monica,CA,all buzz-influencer-programs launch-events sponsorship-activation
mkg,private,NY,NY,all pr-events pop-up-stores sponsorship-activation
mktg,owned by Dentsu,NY,NY,all buzz-influencer-programs nightlife-marketing sponsorship-activation
moderne communications,private,Rockville Centre,NY,all guerrilla-street-programs pr-events pop-up-stores
momentum worldwide,public,NY,NY,all mobile-tours nightlife-marketing sponsorship-activation
mosaic,private,Mississauga,Ontario,all guerrilla-street-programs launch-events nightlife-marketing
motive,private,NY,NY,all college-campus-marketing events-for-content guerrilla-street-programs
mvp collaborative,private,Madison Heights,Michigan,all b-to-b-meetingsevents sales-conferencesmeetings sponsorship-activation
na collective,private,NY,NY,all b-to-b-meetingsevents launch-events press-events
ncompass,private,West Hollywood,CA,all retailtainment-events launch-events sponsorship-activation
newbridge live,private,Portland,ME,all college-campus-marketing mobile-tours sampling
next marketing,independent,Atlanta,GA,all mobile-tours sampling sponsorship-activation
nve,private,Beverly Hills,CA,all buzz-influencer-programs developer-conferencesevents launch-events
octagon,public,McLean,VA,all mobile-tours sponsorship-activation worldwide-event-programs
on board experiential,private,Sausalito,CA,all b-to-b-meetingsevents mobile-tours sponsorship-activation
opus agency,private,Beaverton,OR,all b-to-b-meetingsevents sponsorship-activation worldwide-event-programs
performance marketing group,private,Indianapolis,IN,all b-to-b-meetingsevents sampling sponsorship-activation
pgw experience,owned by CAA,Los Angeles,CA,all guerrilla-street-programs mobile-tours sponsorship-activation
pop2life,private,NY,NY,all launch-events pr-events sponsorship-activation
proscenium,partership,NY,NY,all b-to-b-meetingsevents internal-employee-events sales-conferencesmeetings
redpeg marketing,private in a collective,Alexandria,VA,all mobile-tours sampling sponsorship-activation
revel,private,Muskegon,MI,all b-to-b-meetingsevents buzz-influencer-programs internal-employee-events
revolution,independent,Chicago,IL,all mobile-tours sponsorship-activation sports-marketing
set,public,Portland,OR,all retailtainment-events launch-events pop-up-stores
soho experiential,private,NY,NY,all buzz-influencer-programs mobile-tours nightlife-marketing
sparks,private,Philadelphia,PA,all b-to-b-meetingsevents developer-conferencesevents trade-shows
superfly,private,NY,NY,all buzz-influencer-programs sponsorship-activation worldwide-event-programs
switch,private,st. louis,MO,all b-to-b-meetingsevents mobile-tours sponsorship-activation
synergy,private,Ocean,NJ,all mobile-tours pr-events sponsorship-activation
the taylor group,private,Brampton,Ontario,all b-to-b-meetingsevents developer-conferencesevents trade-shows
touch worldwide,private,Seattle,WA,all b-to-b-meetingsevents internal-employee-events press-events
track marketing group,private,NY,NY,all buzz-influencer-programs pr-events sponsorship-activation
united entertainment group,owned by Edelman,NY,NY,all retailtainment-events launch-events pr-events
the visionary group,private,Los Angeles,CA,all b-to-b-meetingsevents buzz-influencer-programs launch-events
wasserman,private,Los Angeles,CA,all pr-events sponsorship-activation worldwide-event-programs
