,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,state_s,company
3043,3043,Emeryville,California,San Francisco,3038735,bhava-communications,Advertising & Marketing,23,3066,26443,113.1738,2,CA,Bhava Communications
3048,3048,Berkeley,California,San Francisco,22058329,john-mcneil-studio,Advertising & Marketing,122,3071,37888,113.0245,1,CA,John McNeil Studio
3058,3058,Scottsdale,Arizona,Phoenix,2108258,the-james-agency,Advertising & Marketing,18,3081,37889,112.6926,1,AZ,The James Agency
3096,3096,Springville,Utah,"Provo-Orem, UT",6268989,circlepix,Advertising & Marketing,67,3119,6098,110.8591,3,UT,CirclePix
3109,3109,Richmond,Virginia,"Richmond, VA",3285302,netsearch-direct,Advertising & Marketing,22,3133,25919,109.5785,2,VA,NetSearch Direct
3125,3125,Springfield,New Jersey,New York City,3081273,pride-products-distributors,Advertising & Marketing,13,3149,10932,108.9778,3,NJ,Pride Products Distributors
3130,3130,Denver,Colorado,"Denver-Aurora, CO",3397609,fruition,Advertising & Marketing,27,3154,25152,108.575,2,CO,Fruition
3133,3133,Greensboro,North Carolina,"Greensboro-High Point, NC",7690621,web-decisions,Advertising & Marketing,52,3157,21700,108.4101,4,NC,Web Decisions
3142,3142,Phoenix,Arizona,Phoenix,2055348,classiccarscom,Advertising & Marketing,22,3166,37909,107.8738,1,AZ,ClassicCars.com
3147,3147,New York,New York,New York City,10093804,path-interactive,Advertising & Marketing,39,3171,37911,107.7106,1,NY,Path Interactive
3151,3151,Cedar Falls,Iowa,"Waterloo-Cedar Falls, IA",12884939,edgecore,Advertising & Marketing,48,3175,19596,107.5449,4,IA,EdgeCore
3165,3165,Chicago,Illinois,Chicago,4109000,sandstorm-design,Advertising & Marketing,18,3189,20664,107.0025,2,IL,Sandstorm Design
3175,3175,Atlanta,Georgia,Atlanta,12047230,scout,Advertising & Marketing,78,3199,37918,106.2936,1,GA,Scout
3188,3188,Charlotte,North Carolina,Charlotte,7616996,red-moon-marketing,Advertising & Marketing,23,3212,3043,105.964,5,NC,Red Moon Marketing
3195,3195,Gaithersburg,Maryland,"Washington, DC",4302041,blue-corona,Advertising & Marketing,35,3219,21104,105.6097,4,MD,Blue Corona
3217,3217,minneapolis,Minnesota,Minneapolis,31384355,knock,Advertising & Marketing,58,3241,20039,104.2735,5,MN,KNOCK
3219,3219,Overland Park,Kansas,"Kansas City, MO-KS",22061819,deg,Advertising & Marketing,166,3243,20136,104.1884,5,KS,DEG
3256,3256,Farmingdale,New York,New York City,54744000,wilen,Advertising & Marketing,62,3280,2872,102.4257,5,NY,Wilen
3264,3264,Delray Beach,Florida,Miami,14738854,derflan,Advertising & Marketing,80,3288,19524,102.0011,5,FL,Derflan
3274,3274,Hollywood,Florida,Miami,2820600,fish-consulting,Advertising & Marketing,19,3298,25211,101.4283,2,FL,Fish Consulting
3308,3308,Hudson,Ohio,"Akron, OH",6775976,akhia,Advertising & Marketing,63,3332,37955,99.5755,1,OH,AKHIA
3320,3320,Saratoga,California,San Jose,4400626,stage-4-solutions,Advertising & Marketing,40,3344,21924,99.1012,4,CA,Stage 4 Solutions
3327,3327,Newtown,Pennsylvania,Philadelphia,13043816,optimal-strategix-group,Advertising & Marketing,71,3351,17551,98.8376,6,PA,Optimal Strategix Group
3330,3330,Indianapolis,Indiana,"Indianapolis, IN",5685116,trendyminds,Advertising & Marketing,46,3354,23065,98.7161,3,IN,TrendyMinds
3332,3332,Framingham,Massachusetts,Boston,2405789,listengage,Advertising & Marketing,26,3356,37964,98.6888,1,MA,ListEngage
3348,3348,Sandy Hook,Connecticut,"Bridgeport-Stamford-Norwalk, CT",7303000,mediassociates,Advertising & Marketing,38,3372,25069,98.0743,2,CT,Mediassociates
3349,3349,Saint Louis,Missouri,"St. Louis, MO-IL",89807000,fusion-marketing,Advertising & Marketing,95,3373,37967,98.0571,1,MO,FUSION Marketing
3357,3357,Chicago,Illinois,Chicago,80690337,vsa-partners,Advertising & Marketing,305,3381,25971,97.4628,2,IL,VSA Partners
3374,3374,Reston,Virginia,"Washington, DC",27299104,media-prowler,Advertising & Marketing,58,3398,20859,96.7628,4,VA,Media Prowler
3376,3376,Minneapolis,Minnesota,Minneapolis,6221451,fast-horse,Advertising & Marketing,30,3400,37976,96.6847,1,MN,Fast Horse
3400,3400,Carol Stream,Illinois,Chicago,96627571,diamond-marketing-solutions,Advertising & Marketing,549,3424,25164,95.1992,2,IL,Diamond Marketing Solutions
3402,3402,Minneapolis,Minnesota,Minneapolis,6016278,nina-hale,Advertising & Marketing,44,3426,23916,95.0816,3,MN,Nina Hale
3407,3407,Pasadena,California,Los Angeles,30134000,ratespecial-interactive,Advertising & Marketing,32,3431,20981,94.836,4,CA,RateSpecial Interactive
3457,3457,New York,New York,New York City,11748281,team-epiphany,Advertising & Marketing,70,3481,17976,92.4156,7,NY,Team Epiphany
3472,3472,Irvine,California,Los Angeles,6188855,column-five,Advertising & Marketing,48,3496,23094,91.7932,3,CA,Column Five
3473,3473,Springfield,Missouri,"Springfield, MO",3657907,classy-llama,Advertising & Marketing,32,3497,23205,91.7807,3,MO,Classy Llama
3492,3492,Escondido,California,San Diego,6923289,dynamicard-plastic-postcards-analytics,Advertising & Marketing,9,3516,24329,91.1472,3,CA,DynamiCard Plastic Postcards & Analytics
3507,3507,Orlando,Florida,"Orlando, FL",18671780,akt-enterprises,Advertising & Marketing,156,3532,17617,90.3586,5,FL,AKT Enterprises
3514,3514,Plano,Texas,Dallas,6059742,vlg,Advertising & Marketing,46,3539,20611,90.0498,5,TX,VLG
3537,3537,Chicago,Illinois,Chicago,2733333,xcite-advertising,Advertising & Marketing,149,3562,38016,89.0954,1,IL,Xcite Advertising
3547,3547,San Francisco,California,San Francisco,14062803,launchsquad,Advertising & Marketing,103,3573,1186,88.60700000000001,8,CA,LaunchSquad
3559,3559,Buford,Georgia,Atlanta,2660559,red-clay-interactive,Advertising & Marketing,20,3585,1608,88.0874,2,GA,Red Clay Interactive
3580,3580,Cerritos,California,Los Angeles,9167999,ace-exhibits,Advertising & Marketing,47,3607,20147,87.0592,5,CA,Ace Exhibits
3612,3612,Danville,California,San Francisco,7800000,wingtip-communications,Advertising & Marketing,18,3640,38031,85.7143,1,CA,Wingtip Communications
3620,3620,Narberth,Pennsylvania,Philadelphia,2448687,4-walls,Advertising & Marketing,35,3648,38035,85.2772,1,PA,4 Walls
3623,3623,Houston,Texas,Houston,20954236,topspot-internet-marketing,Advertising & Marketing,74,3651,1163,85.1983,6,TX,TopSpot Internet Marketing
3637,3637,Columbia,Missouri,"Columbia, MO",21422157,division-d,Advertising & Marketing,35,3665,21850,84.7815,3,MO,Division-D
3644,3644,New Orleans,Louisiana,"New Orleans-Metairie-Kenner, LA",2196866,imaginal-marketing-group,Advertising & Marketing,24,3672,38041,84.6686,1,LA,Imaginal Marketing Group
3647,3647,Thousand Oaks,California,"Oxnard-Thousand Oaks-Ventura, CA",2515518,mustang-marketing,Advertising & Marketing,15,3675,38042,84.6007,1,CA,Mustang Marketing
3698,3698,Bothell,Washington,Seattle,2318042,ascendance-digital-media,Advertising & Marketing,8,3726,38053,82.8445,1,WA,Ascendance Digital Media
3709,3709,Las Vegas,Nevada,"Las Vegas-Paradise, NV",9328000,proforma-gps-global-promotional-sourcing,Advertising & Marketing,8,3737,23966,82.4013,3,NV,Proforma GPS Global Promotional Sourcing
3735,3735,West Chicago,Illinois,Chicago,8605726,evo-exhibits,Advertising & Marketing,39,3763,23150,81.1474,3,IL,Evo Exhibits
3742,3742,Herndon,Virginia,"Washington, DC",54811068,team-velocity-marketing,Advertising & Marketing,192,3770,21805,80.9204,4,VA,Team Velocity Marketing
3745,3745,Newberry,Florida,"Gainesville, FL",2931310,frankel-media-group,Advertising & Marketing,19,3773,25339,80.8211,2,FL,Frankel Media Group
3750,3750,New York,New York,New York City,40395275,invnt,Advertising & Marketing,62,3779,23902,80.6259,2,NY,inVNT
3756,3756,New York,New York,New York City,15564012,wilson-rms,Advertising & Marketing,44,3785,38068,80.4605,1,NY,Wilson RMS
3781,3781,Miami,Florida,Miami,9765883,max-borges-agency,Advertising & Marketing,58,3810,1696,79.544,7,FL,Max Borges Agency
3795,3795,Cornelius,North Carolina,Charlotte,3330421,artisan-signs-and-graphics,Advertising & Marketing,28,3824,38075,79.3458,1,NC,Artisan Signs and Graphics
3819,3819,Blue Bell,Pennsylvania,Philadelphia,6156907,gen3-marketing,Advertising & Marketing,30,3848,24868,78.765,2,PA,Gen3 Marketing
3820,3820,Tarpon Springs,Florida,Tampa,5334186,imagemediacom,Advertising & Marketing,33,3849,3521,78.7168,4,FL,imageMEDIA.com
3821,3821,Portland,Oregon,"Portland, OR",2548334,dunthorpe-marketing-group,Advertising & Marketing,29,3850,38084,78.67699999999999,1,OR,Dunthorpe Marketing Group
3825,3825,Boston,Massachusetts,Boston,16366750,verndale,Advertising & Marketing,130,3854,2449,78.4728,9,MA,Verndale
3827,3827,Farmington Hills,Michigan,Detroit,15766990,duffey-petrosky,Advertising & Marketing,101,3856,4114,78.4325,7,MI,Duffey Petrosky
3844,3844,New York,New York,New York City,16299234,sullivan,Advertising & Marketing,75,3873,4540,77.5515,6,NY,Sullivan
3862,3862,Newport Beach,California,Los Angeles,47812653,lifescript,Advertising & Marketing,103,3891,2672,76.9092,9,CA,Lifescript
3868,3868,New York,New York,New York City,4450620,beardwoodco,Advertising & Marketing,15,3897,18068,76.7045,2,NY,Beardwood&Co.
3886,3886,Salt Lake City,Utah,Salt Lake City,3888858,queen-of-wraps,Advertising & Marketing,40,3915,23683,76.0461,2,UT,Queen of Wraps
3892,3892,Edwards,Colorado,"Edwards, CO",3051775,ryan-solutions,Advertising & Marketing,13,3921,38098,75.6844,1,CO,Ryan Solutions
3897,3897,Charleston,South Carolina,"Charleston-North Charleston, SC",2465000,ehouse-studio,Advertising & Marketing,17,3926,38099,75.5698,1,SC,eHouse Studio
3901,3901,Tempe,Arizona,Phoenix,14062267,bluemedia,Advertising & Marketing,112,3930,5645,75.4814,7,AZ,Bluemedia
3902,3902,Long Island City,New York,New York City,6734000,mediamorphosis,Advertising & Marketing,92,3931,20310,75.456,2,NY,MediaMorphosis
3904,3904,Miami,Florida,Miami,14450463,republica,Advertising & Marketing,93,3933,20177,75.3396,5,FL,Republica
3931,3931,Le Claire,Iowa,"Davenport-Moline-Rock Island, IA-IL",3356929,mindfire-communications,Advertising & Marketing,15,3960,24124,74.3448,3,IA,MindFire Communications
3932,3932,Chicago,Illinois,Chicago,9099099,liquidus-marketing,Advertising & Marketing,39,3961,38110,74.3035,1,IL,Liquidus Marketing
3935,3935,Los Angeles,California,Los Angeles,8303000,dial800,Advertising & Marketing,33,3964,20419,74.2497,5,CA,Dial800
3939,3939,Beverly,Massachusetts,Boston,11690000,blue-vase-marketing,Advertising & Marketing,66,3968,23732,74.0619,3,MA,Blue Vase Marketing
3943,3943,San Francisco,California,San Francisco,82625000,w2o-group,Advertising & Marketing,402,3972,1511,73.9474,7,CA,W2O Group
3944,3944,New York,New York,New York City,43356675,epromos-promotional-products,Advertising & Marketing,112,3973,2038,73.9489,6,NY,ePromos Promotional Products
3951,3951,Carrollton,Texas,Dallas,3841287,advantix-marketing,Advertising & Marketing,26,3980,38112,73.7688,1,TX,Advantix Marketing
3960,3960,Columbus,Ohio,"Columbus, OH",5766030,skyline-exhibits-of-central-ohio,Advertising & Marketing,20,3989,24242,73.5648,3,OH,Skyline Exhibits of Central Ohio
3972,3972,Malvern,Pennsylvania,Philadelphia,36005338,stream-companies,Advertising & Marketing,125,4001,1158,73.0412,9,PA,Stream Companies
3977,3977,Austin,Texas,Austin,3630900,sales-engine-international,Advertising & Marketing,28,4006,21794,72.8459,4,TX,Sales Engine International
3983,3983,Chicago,Illinois,Chicago,15319000,cdm-media,Advertising & Marketing,82,4012,26346,72.6474,2,IL,CDM Media
4036,4036,Dallas,Texas,Dallas,10705539,bob-lilly-professional-promotions,Advertising & Marketing,34,4065,8919,70.4959,2,TX,Bob Lilly Professional Promotions
4044,4044,Alpharetta,Georgia,Atlanta,7114504,dodge-communications,Advertising & Marketing,55,4073,1759,70.3069,7,GA,Dodge Communications
4045,4045,Atlanta,Georgia,Atlanta,8967751,inreality,Advertising & Marketing,33,4074,18724,70.2366,3,GA,InReality
4068,4068,Waltham,Massachusetts,Boston,19522887,zoominfo,Advertising & Marketing,99,4097,5806,69.2811,3,MA,ZoomInfo
4070,4070,San Diego,California,San Diego,5939425,the-dzap-group,Advertising & Marketing,45,4099,26389,69.1765,2,CA,The DZAP Group
4079,4079,Los Angeles,California,Los Angeles,6212160,public-identity,Advertising & Marketing,10,4108,8816,68.9377,4,CA,Public Identity
4095,4095,Portland,Oregon,"Portland, OR",3182206,strategic-marketing,Advertising & Marketing,18,4124,23932,68.5665,3,OR,Strategic Marketing
4096,4096,Mary Esther,Florida,"Fort Walton Beach-Crestview-Destin, FL",86548933,advanced-enterprises-of-nw-fl,Advertising & Marketing,628,4125,21328,68.5573,4,FL,Advanced Enterprises of NW FL
4117,4117,Memphis,Tennessee,"Memphis, TN-MS-AR",19283934,archer>malmo,Advertising & Marketing,154,4146,9495,68.0625,4,TN,archer>malmo
4139,4139,Albuquerque,New Mexico,"Albuquerque, NM",2279945,griffin-associates,Advertising & Marketing,10,4168,6798,67.0844,3,NM,Griffin & Associates
4153,4153,Carrollton,Texas,Dallas,28244909,the-trade-group,Advertising & Marketing,105,4182,25646,66.7531,2,TX,The Trade Group
4154,4154,Ferndale,Michigan,Detroit,18447000,pulse220,Advertising & Marketing,25,4183,9039,66.745,2,MI,Pulse220
4160,4160,Nashville,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",10669605,bohan-advertising,Advertising & Marketing,81,4189,38147,66.3709,1,TN,BOHAN Advertising
4161,4161,Detroit,Michigan,Detroit,6462529,skidmore-studio,Advertising & Marketing,32,4190,38148,66.2988,1,MI,Skidmore Studio
4181,4181,Nashville,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",2403610,industrial-strength-marketing,Advertising & Marketing,15,4210,38155,65.9961,1,TN,Industrial Strength Marketing
4187,4187,Chicago,Illinois,Chicago,16319702,opinionlab,Advertising & Marketing,101,4216,24273,65.9332,3,IL,OpinionLab
4195,4195,Syracuse,New York,"Syracuse, NY",19738493,pinckney-hugo-group,Advertising & Marketing,54,4224,1839,65.4751,8,NY,Pinckney Hugo Group
4212,4212,Santa Monica,California,Los Angeles,2342557,ranklab,Advertising & Marketing,20,4241,38160,65.0287,1,CA,RankLab
4222,4222,Canton,Ohio,"Canton-Massillon, OH",12476024,incept,Advertising & Marketing,272,4251,38164,64.7611,1,OH,Incept
4231,4231,New Orleans,Louisiana,"New Orleans-Metairie-Kenner, LA",5849260,search-influence,Advertising & Marketing,86,4260,19497,64.4577,5,LA,Search Influence
4238,4238,irvine,California,Los Angeles,2641189,imarket-solutions,Advertising & Marketing,27,4267,38169,64.2684,1,CA,iMarket Solutions
4280,4280,Redmond,Washington,Seattle,28639778,maq-software,Advertising & Marketing,450,4309,822,63.2227,7,WA,MAQ Software
4282,4282,New York,New York,New York City,2408026,eye5-mktg-talent,Advertising & Marketing,4,4311,25888,63.1475,2,NY,Eye5 Mktg & Talent
4299,4299,Castle Rock,Colorado,"Denver-Aurora, CO",2200351,smarter-chaos,Advertising & Marketing,12,4328,38183,62.6445,1,CO,Smarter Chaos
4308,4308,New York,New York,New York City,68027000,fluent-new-york-ny,Advertising & Marketing,60,4337,25124,62.4875,2,NY,"Fluent (New York, NY)"
4326,4326,Atlanta,Georgia,Atlanta,8429271,352,Advertising & Marketing,77,4355,2614,61.9196,9,GA,352
4339,4339,Phoenix,Arizona,Phoenix,41033359,laneterralever,Advertising & Marketing,126,4368,38195,61.3762,1,AZ,LaneTerralever
4346,4346,San Diego,California,San Diego,5320869,titan-seo,Advertising & Marketing,22,4375,22111,61.1979,6,CA,Titan SEO
4351,4351,New York,New York,New York City,20263000,prosek-partners,Advertising & Marketing,86,4380,2717,61.0731,7,NY,Prosek Partners
4371,4371,Rockville,Maryland,"Washington, DC",23616304,hzdg,Advertising & Marketing,165,4400,24608,60.5267,2,MD,HZDG
4420,4420,Beverly Hills,California,Los Angeles,10742981,YURZ,Advertising & Marketing,143,4449,21762,59.0266,4,CA,YURZ
4422,4422,Carlsbad,California,San Diego,21639264,san-diego-sign-company,Advertising & Marketing,105,4451,21928,58.9322,4,CA,San Diego Sign Company
4427,4427,Springfield,Missouri,"Springfield, MO",15216683,marlin-network,Advertising & Marketing,141,4456,18903,58.7429,6,MO,Marlin Network
4441,4441,Perkasie,Pennsylvania,Philadelphia,2303056,powerone,Advertising & Marketing,7,4470,26344,58.3868,2,PA,PowerOne
4447,4447,Bolingbrook,Illinois,Chicago,25856032,tobe-direct,Advertising & Marketing,72,4476,22057,58.2741,3,IL,Tobe Direct
4461,4461,San Francisco,California,San Francisco,10207626,eastwick,Advertising & Marketing,53,4490,38219,57.9635,1,CA,Eastwick
4463,4463,Horsham,Pennsylvania,Philadelphia,19272000,dudnyk,Advertising & Marketing,63,4492,20727,57.9154,2,PA,Dudnyk
4471,4471,Grayslake,Illinois,Chicago,2014842,agency-promo-group-apg-exhibits,Advertising & Marketing,7,4500,38222,57.7671,1,IL,Agency Promo Group & APG Exhibits
4513,4513,Newton,Massachusetts,Boston,5550113,influence-central,Advertising & Marketing,33,4542,19762,56.6823,5,MA,Influence Central
4520,4520,New York,New York,New York City,46177565,leaddog-marketing-group,Advertising & Marketing,111,4549,18528,56.4564,6,NY,LeadDog Marketing Group
4541,4541,Irvine,California,Los Angeles,5311806,rhythm,Advertising & Marketing,37,4570,24162,55.9631,3,CA,Rhythm
4554,4554,Santa Clara,California,San Jose,19405236,milestone-internet-marketing,Advertising & Marketing,95,4583,26177,55.4505,2,CA,Milestone Internet Marketing
4561,4561,Pittsburgh,Pennsylvania,"Pittsburgh, PA",16741244,hds,Advertising & Marketing,55,4590,24196,55.1672,3,PA,HDS
4573,4573,Palatine,Illinois,Chicago,2505738,pepper-group,Advertising & Marketing,18,4602,38254,54.7045,1,IL,Pepper Group
4581,4581,Farmington,Utah,"Ogden-Clearfield, UT",18387000,thomasarts,Advertising & Marketing,139,4610,18413,54.4347,6,UT,ThomasARTS
4595,4595,Chicago,Illinois,Chicago,6670000,greentarget-global-group,Advertising & Marketing,34,4624,1266,54.0772,5,IL,Greentarget Global Group
4598,4598,Newport Beach,California,Los Angeles,59137000,ymarketing,Advertising & Marketing,62,4627,19302,54.0467,5,CA,ymarketing
4607,4607,Southern Pines,North Carolina,"Southern Pines-Pinehurst, NC",5501450,buycalls,Advertising & Marketing,11,4637,23329,53.8731,3,NC,buyCalls
4612,4612,Atlanta,Georgia,Atlanta,3506228,brightwave,Advertising & Marketing,25,4642,21702,53.6802,4,GA,BrightWave
4669,4669,Cincinnati,Ohio,Cincinnati,2348123,repass,Advertising & Marketing,9,4699,38272,52.0149,1,OH,Repass
4677,4677,San Francisco,California,San Francisco,15979216,spark,Advertising & Marketing,66,4707,3197,51.7222,8,CA,Spark
4679,4679,Fairfax,Virginia,"Washington, DC",7322718,leapfrog-solutions,Advertising & Marketing,39,4709,6586,51.6326,7,VA,LeapFrog Solutions
4713,4713,St. Petersburg,Florida,Tampa,26580873,kobie-marketing,Advertising & Marketing,139,4744,18579,50.5597,6,FL,Kobie Marketing
4736,4736,Denver,Colorado,"Denver-Aurora, CO",2379631,akavit,Advertising & Marketing,18,4767,24824,50.0075,2,CO,Akavit
4747,4747,Milwaukee,Wisconsin,"Milwaukee-Waukesha-West Allis, WI",5802000,ascedia,Advertising & Marketing,57,4778,38297,49.8064,1,WI,Ascedia
4752,4752,Louisville,Kentucky,"Louisville/Jefferson County, KY-IN",7891835,priceweber-marketing-communications,Advertising & Marketing,63,4783,38298,49.6784,1,KY,PriceWeber Marketing Communications
4781,4781,Pittsburgh,Pennsylvania,"Pittsburgh, PA",4503300,beyond-spots-dots,Advertising & Marketing,24,4812,21910,49.0665,3,PA,Beyond Spots & Dots
4783,4783,Denver,Colorado,"Denver-Aurora, CO",3200429,volume-nine,Advertising & Marketing,26,4814,21664,49.0296,4,CO,Volume Nine
4790,4790,Newport Beach,California,Los Angeles,2416363,inboundprospect,Advertising & Marketing,3,4821,38306,48.8339,1,CA,InboundProspect
4792,4792,Stamford,Connecticut,"Bridgeport-Stamford-Norwalk, CT",17420479,m2-media-group,Advertising & Marketing,44,4823,465,48.7804,5,CT,M2 Media Group
4793,4793,Flower Mound,Texas,Dallas,385488620,ivie-associates,Advertising & Marketing,497,4824,9156,48.7525,3,TX,Ivie & Associates
4801,4801,New York,New York,New York City,5095000,digennaro-communications,Advertising & Marketing,32,4832,22151,48.4557,5,NY,DiGennaro Communications
4819,4819,Brooklyn,New York,New York City,5251204,ptex-group,Advertising & Marketing,34,4850,20417,47.9719,2,NY,Ptex Group
4844,4844,Irvine,California,Los Angeles,4517509,ink-studios,Advertising & Marketing,26,4875,22141,47.1006,4,CA,INK Studios
4862,4862,Milwaukee,Wisconsin,"Milwaukee-Waukesha-West Allis, WI",7034227,core-creative,Advertising & Marketing,45,4893,24145,46.3464,3,WI,Core Creative
4875,4875,Los Angeles,California,Los Angeles,10718490,tvgla,Advertising & Marketing,66,4906,17428,45.8845,3,CA,TVGla
4878,4878,Rochester,New York,"Rochester, NY",11013220,butlertill-media-communications,Advertising & Marketing,81,4909,18250,45.8468,5,NY,Butler/Till Media & Communications
4919,4919,Norcross,Georgia,Atlanta,10922963,next-marketing,Advertising & Marketing,28,4950,2610,44.5593,6,GA,Next Marketing
4928,4928,Brewster,New York,New York City,2264137,gary-stock-company,Advertising & Marketing,11,4959,38338,44.3378,1,NY,Gary Stock Company
4953,4953,Portland,Oregon,"Portland, OR",12093847,connective-dx,Advertising & Marketing,78,4984,1345,43.595,8,OR,Connective DX
