AGENCY-COMPANY,HEADQUARTERS,2010-REVENUE,% CHG
PHD* [Omnicom (OMG)],London,"72,000",7
AbelsonTaylor,Chicago,"70,448",4.8
NSI/Razor,St. Louis,"70,236",13.6
TMP Worldwide Advertising & Communications [TMP Worldwide],New York,"69,268",15.4
Cohn & Wolfe* [WPP (Y&R)],New York,"68,750",0
Plattform Advertising [Ad Venture Interactive],"Lenexa, Kan.","68,466",1.2
CAHG* [Omnicom],Chicago,"67,823",10.6
Geomentum* [Interpublic (Mediabrands)],"Downers Grove, Ill.","66,150",-9.1
GlobalHue*,"Southfield, Mich.","65,670",1.8
Moxie Interactive* [Publicis (ZenithOptimedia)],Atlanta,"65,000",8.3
Olson,Minneapolis,"64,800",25.6
Brunswick*,London,"61,000",NA
Medicus Life Brands* [Publicis (PHCG)],New York,"61,000",0
22squared,Atlanta,"60,785",5.9
Team Enterprises* [MDC Partners],"Fort Lauderdale, Fla.","60,000",9.1
Ryan Partnership [D.L. Ryan Cos. (Ryan Partnership)],"Wilton, Conn.","57,381",1.7
Global Experience Specialists* [Viad Corp.],Las Vegas,"55,900",9
Kaplan Thaler Group* [Publicis],New York,"55,000",10
TBA Global,New York,"55,000",1.7
Team One* [Publicis (Saatchi)],"El Segundo, Calif.","54,750",9.5
Huntsworth Health* [Huntsworth],"Yardley, Pa.","54,511",4.1
Fry*,"Ann Arbor, Mich.","53,300",7.9
Resource Interactive,"Columbus, Ohio","53,000",29.3
Blast Radius* [WPP (Y&R {Wunderman})],Vancouver,"52,000",23.8
iProspect* [Aegis Group],Boston,"52,000",20.9
Derse*,Milwaukee,"51,925",6
R2C Group,"Portland, Ore.","51,924",1.5
Roundarch,Chicago,"51,488",10.9
Grayling* [Huntsworth],London,"50,491",2.1
Ascentium,"Bellevue, Wash.","50,200",-23.9
GAPRC Group,"Stone Mountain, Ga.","50,100",27.2
Brierley & Partners* [WPP],"Plano, Texas","48,000",NA
IMC* [IMC2],Dallas,"48,000",-4
Saatchi & Saatchi Health Communications NY* [Publicis (PHCG)],New York,"46,500",0
Periscope,Minneapolis,"46,497",0.6
LBi [LBi International],New York,"46,000",7
Neo@Ogilvy* [WPP (O&M)],New York,"46,000",21.1
Group M Search* [WPP (Group M)],St. Louis,"45,495",35
Fallon Worldwide* [Publicis],Minneapolis,"45,000",12.5
15miles,New York,"44,436",-8.7
McMurry,Phoenix,"44,000",-10.2
Bernstein-Rein Advertising,"Kansas City, Mo.","43,535",0.6
Moroch Partners,Dallas,"43,244",1.9
Band Digital,Chicago,"43,014",-9.7
OgilvyAction* [WPP (O&M)],New York,"43,000",19.4
Huge* [Interpublic (Lowe)],"Brooklyn, N.Y.","42,842",38.2
Barkley,"Kansas City, Mo.","42,364",-3.3
Group360 Worldwide,St. Louis,"42,000",0
Javelin Marketing Group* [Omnicom],"Irving, Texas","42,000",-6
Pacific Communications,"Costa Mesa, Calif.","41,619",18.6
Siegel & Gale* [Omnicom],New York,"41,250",26.9
Marketing Drive* [RiverNorth Group (KB Holdings)],"Norwalk, Conn.","41,160",-1.8
GMMB* [Omnicom],Washington,"41,000",7.9
ePrize,"Pleasant Ridge, Mich.","40,718",12.8
Carmichael Lynch* [Interpublic],Minneapolis,"40,500",0
McKinney,"Durham, N.C.","40,000",41.5
Kekst & Co.* [Publicis (MSL Group)],New York,"40,000",2.4
Optimedia International U.S.* [Publicis (ZenithOptimedia)],New York,"40,000",2
Amp Agency [Alloy Media & Marketing],Boston,"39,310",4
Bartle Bogle Hegarty*,London,"39,000",21.9
JWT Inside* [WPP (JWT)],New York,"38,707",7.5
BVK,Milwaukee,"38,600",31.3
Martin Williams Advertising* [Omnicom],Minneapolis,"38,466",5
R&R Partners,Las Vegas,"37,526",6.5
Efficient Frontier*,"Sunnyvale, Calif.","37,500",25
WCG,San Francisco,"37,008",37.4
Dieste* [Omnicom],Dallas,"37,000",0
E-Graphics Worldwide* [Omnicom (TBWA)],"Long Beach, Calif.","37,000",-2.6
Marketing Store,"Lombard, Ill.","36,700",-12.6
Engauge,"Columbus, Ohio","36,627",2.2
MediaWhiz,New York,"36,423",32.3
Catapult Integrated Services [D.L. Ryan Cos. (Ryan Partnership)],"Westport, Conn.","35,782",7.6
Mars Advertising,"Southfield, Mich.","35,478",3.5
Doremus* [Omnicom],New York,"35,200",10
Macquarium Intelligent Communications,Atlanta,"35,000",6.1
U.S. International Media*,Los Angeles,"35,000",20.7
BFG Communications,"Bluffton, S.C.","34,830",10.5
MWW Group*,"East Rutherford, N.J.","34,798",3
Marketing Werks,Chicago,"34,458",NA
Campbell Mithun* [Interpublic (McCann)],Minneapolis,"34,450",-35
CementBloc,New York,"33,900",24
Hacker Group* [Interpublic (DraftFCB)],Seattle,"33,500",4.7
Mktg,New York,"33,340",4.6
"Venables, Bell & Partners",San Francisco,"33,326",14.9
LLNS* [Omnicom],New York,"33,193",10.6
Grizzard Communications Group* [Omnicom],Atlanta,"32,580",3.1
SMG Performance Marketing* [Publicis (SMG)],New York,"32,000",18.5
Zaaz* [WPP (Y&R {Wunderman})],Seattle,"32,000",28
Paradysz,New York,"31,693",14.9
Switch,St. Louis,"31,400",12.1
Team Epic* [Aegis Group],"Norwalk, Conn.","31,400",20.3
Saatchi & Saatchi X* [Publicis (Saatchi)],"Springdale, Ark.","31,200",4
Star Group,"Voorhees, N.J.","31,004",-0.4
"Butler, Shine, Stern & Partners","Sausalito, Calif.","30,956",1.1
Zeta Interactive,New York,"30,907",0
Integrated Media Solutions* [MDC Partners],"Beverly Hills, Calif.","30,764",7.5
Rauxa Direct,"Costa Mesa, Calif.","30,707",-19.8
Eric Mower & Associates,"Syracuse, N.Y.","30,562",-7.3
BGT Partners,Miami,"30,520",40
Bravo Group* [WPP (Y&R)],Miami,"30,000",12
FutureBrand* [Interpublic (McCann)],London,"30,000",-7.7
Russ Reid Co.* [Omnicom],"Pasadena, Calif.","30,000",5.3
Maxus* [WPP (Group M)],New York,"29,930",10
Qorvis Communications*,Washington,"29,700",NA
Ackerman McQueen,Oklahoma City,"29,587",7.5
Acronym Media,New York,"29,500",9.3
Anderson Direct Marketing,"Poway, Calif.","29,500",23.4
Merkley & Partners* [Omnicom],New York,"29,250",0
Performics* [Publicis (ZenithOptimedia)],Chicago,"28,890",7
Bernard Hodes Group* [Omnicom],New York,"28,520",-8
Haworth Marketing & Media,Minneapolis,"28,500",14
Allen & Gerritsen,"Watertown, Mass.","28,445",22
180 Amsterdam/180LA* [Omnicom],"Amsterdam/Santa Monica, Calif.","28,000",NA
Cramer,"Norwood, Mass.","28,000",12
Kinetic* [WPP (Tenthavenue)],London,"27,680",14.3
Risdall Advertising,"New Brighton, Minn.","27,560",-1.7
Colle & McVoy* [MDC Partners],Minneapolis,"27,544",3.8
Eveo,San Francisco,"27,500",26.4
Saatchi & Saatchi Wellness* [Publicis (PHCG)],New York,"27,400",0
Marc USA,Pittsburgh,"27,335",3.5
Factory Design Labs,Denver,"27,092",27.2
Lippincott*,New York,"27,000",6.4
Gotham* [Interpublic (McCann)],New York,"26,813",62.5
Quigley-Simpson,Los Angeles,"26,589",20
ICR,"Norwalk, Conn.","26,515",20.5
Magnani Caruso Dutton,New York,"26,426",13.8
Inter/Media Advertising,"Encino, Calif.","26,400",11.2
CMD,"Portland, Ore.","26,300",11.4
T3,"Austin, Texas","26,142",26.8
Allied Integrated Marketing,Boston,"26,000",-8.5
The Search Agency*,"Santa Monica, Calif.","25,908",27
Bader Rutter & Associates,"Brookfield, Wis.","25,872",15
M.J. Brunner,Pittsburgh,"25,637",27.3
Brodeur Partners*,Boston,"25,500",6.5
RTC Relationship Marketing* [WPP (Y&R {Wunderman})],Washington,"25,441",3
Davis Elen Advertising,Los Angeles,"25,361",19.9
Isobar* [Aegis Group],London,"25,000",NA
Marina Maher Communications,New York,"25,000",NA
Alcone Marketing Group* [Omnicom],"Irvine, Calif.","24,380",6
DKC,New York,"24,260",10
Space150,Minneapolis,"24,230",72.1
Mercury Media,"Santa Monica, Calif.","24,152",-17
Creative Alliance,"Louisville, Ky.","24,144",6.3
Lopez Negrete Communications,Houston,"24,090",-4
Droga5*,New York,"24,000",41.2
Mother New York [Mother Holdings],New York,"24,000",50
Resolution Media* [Omnicom (OMG)],Chicago,"24,000",NA
CCG Marketing Solutions,"West Caldwell, N.J.","23,905",3
TM Advertising* [Interpublic (McCann)],Dallas,"23,800",-30
MMG Worldwide,"Kansas City, Mo.","23,600",1.8
Agency Rx* [Omnicom (CDM Group)],New York,"23,500",0
Element 79* [Omnicom],Chicago,"23,460",-3.5
BKV,"Overland Park, Kan.","23,347",3.2
Unit 7* [Omnicom],New York,"23,100",5
Pop,Seattle,"23,024",27.9
Dailey* [Interpublic (DraftFCB)],"West Hollywood, Calif.","23,000",0
Wirestone,"Sacramento, Calif.","23,000",-6.1
Sigma Group,"Oradell, N.J.","22,898",29
WongDoody,Seattle,"22,500",-5.1
Schwartz Communications,"Waltham, Mass.","22,372",-3.1
Burrell Communications Group* [Publicis],Chicago,"22,200",1.4
Just Marketing International*,"Zionsville, Ind.","22,088",NA
72andSunny Partners* [MDC Partners],Los Angeles,"22,065",202
Enlighten,"Ann Arbor, Mich.","22,000",15.8
Sterling-Rice Group,"Boulder, Colo.","21,939",31.7
Eleven,San Francisco,"21,781",26.4
Media Contacts* [Havas (Havas Media)],Boston,"21,700",31.5
Vidal Partnership*,New York,"21,600",-38.3
Agency 212,New York,"21,500",0
Blue State Digital* [WPP (WPP Digital)],New York,"21,450",67.6
Osborn & Barr,St. Louis,"21,429",20.8
GA Communication Group,Chicago,"21,200",11.6
UniWorld Group* [WPP],"Brooklyn, N.Y.","21,175",-2
LatinWorks* [Omnicom],"Austin, Texas","21,170",7.4
FKM,Houston,"21,167",-8.3
HL Group Partners* [MDC Partners],New York,"21,000",47.9
Upshot [Emak Worldwide],Chicago,"20,642",18.2
Fahlgren,"Columbus, Ohio","20,167",-13.9
DeVries Public Relations* [Interpublic],New York,"20,125",2
Mr. Youth,New York,"20,000",17.6
Razorfish Health* [Publicis (Razorfish)],Philadelphia,"20,000",5.3
Avrett Free Ginsberg* [Interpublic (McCann)],New York,"19,950",5
David & Goliath*,"El Segundo, Calif.","19,890",2
Intermark Group,"Birmingham, Ala.","19,800",16.1
Source Marketing* [MDC Partners],"Norwalk, Conn.","19,800",37.8
Conill* [Publicis (Saatchi)],Miami,"19,710",9.5
Fitzgerald & Co.* [Interpublic (McCann)],Atlanta,"19,651",9.2
Laughlin/Constable,Milwaukee,"19,500",0.5
Regan Communications [Regan Communications Group],Boston,"19,462",-2
JWT Action* [WPP (JWT)],"Akron, Ohio","19,402",9.6
Taylor Global,New York,"19,300",1
Kern Organization* [Omnicom (DDB {Rapp})],"Woodland Hills, Calif.","19,229",7.4
Images USA*,Atlanta,"19,200",0
Vitro* [MDC Partners],San Diego,"19,100",29.9
Alma DDB* [Omnicom (DDB)],Miami,"19,044",9.4
Brandimage,"Northbrook, Ill.","19,000",11.8
Marquette Group,"Peoria, Ill.","18,940",30.2
Dudnyk Exchange,"Horsham, Pa.","18,700",17.3
Impaqt [Merkle],Pittsburgh,"18,700",3.3
Cone* [Omnicom],Boston,"18,638",6.5
Legacy Marketing Partners [RiverNorth Group (KB Holdings)],Chicago,"18,541",10.3
Partners & Napier [Project WorldWide],"Rochester, N.Y.","18,500",5.7
Zubi Advertising Services,"Coral Gables, Fla.","18,500",2.8
Publicis & Hal Riney* [Publicis (Publicis)],San Francisco,"18,360",8
Dentsu America* [Dentsu (Dentsu Network West)],New York,"18,300",8
SK&G*,Las Vegas,"17,940",-1.5
Cadient Group*,"King of Prussia, Pa.","17,900",-16.4
Ignited,"El Segundo, Calif.","17,830",-19.9
Carol H. Williams Advertising,"Emeryville, Calif.","17,822",-15.2
Adcom Group,Cleveland,"17,500",4.8
Brand Union* [WPP],New York,"17,000",25.9
Padilla Speer Beardsley*,Minneapolis,"17,000",11.8
rEvolution,Chicago,"17,000",30.8
Tapestry* [Publicis (SMG)],Chicago,"16,995",10
Digitaria* [WPP (JWT)],San Diego,"16,800",20
McCormick Co.,"Amarillo, Texas","16,774",1.4
Buntin Group,"Nashville, Tenn.","16,700",8.4
Direct Partners* [Omnicom],"Marina del Rey, Calif.","16,640",-2.1
Moosylvania,St. Louis,"16,495",8.8
PainePR [Vision7 Int'l],"Irvine, Calif.","16,495",32.7
Cheil Worldwide,New York,"16,469",-25.1
One to One,"Charlestown, Mass.","16,450",29.5
Elias/Savion Advertising,Pittsburgh,"16,250",12.3
Sawtooth,"Woodbridge, N.J.","16,200",0.2
Della Femina/Rothschild/Jeary & Partners,New York,"16,100",-10.1
Coyne Public Relations,"Parsippany, N.J.","16,051",31.8
Allison & Partners* [MDC Partners],San Francisco,"15,982",9
De la Cruz Group,"Guaynabo, Puerto Rico","15,713",15
Kang & Lee Advertising* [WPP (Y&R)],New York,"15,600",4
Brandthread,"Miramar, Fla.","15,575",18.3
Marden-Kane,"Garden City, N.Y.","15,559",-7.2
Gibbs & Soell,New York,"15,500",-5.5
Serino Coyne* [Omnicom],New York,"15,429",18
TBC,Baltimore,"15,427",1.5
Peter A. Mayer Advertising,New Orleans,"15,416",-2.6
Luckie & Co.,"Birmingham, Ala.","15,338",22.4
AdAsia Communications,New York,"15,257",12.8
Sanders/Wingo,"El Paso, Texas","15,110",-9.4
Arnell Group* [Omnicom],New York,"15,000",-42.3
Berlin Cameron United* [WPP (United)],New York,"15,000",0
Gage,Minneapolis,"15,000",4.9
Noble*,"Springfield, Mo.","15,000",-4.4
Publicis Consultants* [Publicis (MSL Group)],Paris,"15,000",7.1
Reprise Media* [Interpublic (Mediabrands)],New York,"15,000",9.4
Williams-Labadie* [Publicis (PHCG)],Chicago,"14,950",0
Natrel Communications,"Parsippany, N.J.","14,900",13.9
Prime Access*,New York,"14,900",NA
Anomaly* [MDC Partners],New York,"14,875",21.4
Greater Than One,New York,"14,750",13.5
Marketing Support,Chicago,"14,571",22.3
Hoffman/Lewis,San Francisco,"14,563",-0.2
Grupo Gallegos,"Long Beach, Calif.","14,500",NA
Text 100 Global Public Relations [Next Fifteen Communications Group],New York,"14,500",-14.7
Definition 6,Atlanta,"14,418",54.9
Heartbeat Ideas,New York,"14,400",9.9
MMB*,Boston,"14,400",13.4
Northlich*,Cincinnati,"14,364",-10
Schafer Condon Carter,Chicago,"14,222",2.8
GlobalWorks Group,New York,"14,200",10.1
Rodgers Townsend* [Omnicom (DDB)],St. Louis,"14,114",8.6
Rockfish,"Rogers, Ark.","14,100",83.1
Cooney/Waters Group [Creston],New York,"14,089",14.1
Global Advertising Strategies,New York,"14,000",16.7
Rivet* [Interpublic (DraftFCB)],Chicago,"14,000",0
Power Creative,"Louisville, Ky.","13,936",0
SBC Advertising,"Columbus, Ohio","13,832",3.6
LehmanMillet* [HealthStar Communications],Boston,"13,800",4.5
Biggs Gilmore,"Kalamazoo, Mich.","13,691",34.9
Hoffman York,Milwaukee,"13,681",34.5
MV42* [Publicis (SMG)],New York,"13,680",20
French/West/Vaughan*,"Raleigh, N.C.","13,600",11.2
Pereira & O'Dell [Grupo ABC],San Francisco,"13,600",13.6
Marcus Thomas,Cleveland,"13,454",20.8
Lockard & Wechsler,"Irvington, N.Y.","13,296",6.3
Riester,Phoenix,"13,246",-1.2
Cole & Weber United* [WPP (United)],Seattle,"13,200",20
Spark Communications* [Publicis (SMG)],Chicago,"13,200",7.3
Attik* [Dentsu (Dentsu Network West)],San Francisco,"13,000",30
Duncan Channon,San Francisco,"13,000",30
Oneupweb,"Traverse City, Mich.","13,000",9.4
Tierney* [Interpublic],Philadelphia,"13,000",0
Hunter Public Relations,New York,"12,810",27.7
Euro RSCG Worldwide PR* [Havas (Euro RSCG)],New York,"12,780",6.5
RJ Palmer*,New York,"12,780",6.5
Hanson,"Maumee, Ohio","12,700",NA
Firstborn* [Dentsu (Dentsu Network West)],New York,"12,500",47.1
Zeno Group [Daniel J. Edelman],New York,"12,469",24
Ron Foth Advertising,"Columbus, Ohio","12,328",1.1
GKV,Baltimore,"12,300",3.8
RF Binder Partners [Ruder Finn Group],New York,"12,300",5.9
Didit,"Mineola, N.Y.","12,225",-2.2
Covario,San Diego,"12,133",NA
Bozell,"Omaha, Neb.","12,100",5.2
Swanson Russell,"Lincoln, Neb.","12,100",-2.4
Blitz Agency,"Santa Monica, Calif.","12,054",76.7
Hanley Wood Marketing,Minneapolis,"12,023",44.2
Concentric Pharma Advertising,New York,"12,000",33.3
Empathy Lab,"Conshohocken, Pa.","12,000",50
Entr�e Health* [Omnicom (CDM Group)],New York,"12,000",20
Lippe Taylor,New York,"12,000",14.3
Proof* [WPP (Y&R {Burson-Marsteller})],New York,"12,000",6.7
Mastermind Marketing,Atlanta,"11,950",7.2
Hitchcock Fleming & Associates,"Akron, Ohio","11,938",2.6
Sullivan Higdon & Sink,"Wichita, Kan.","11,846",16.6
Peppercom,New York,"11,826",-6.3
Capstrat,"Raleigh, N.C.","11,800",13.1
American Communications Group*,"Torrance, Calif.","11,780",NA
Via Group,"Portland, Maine","11,750",24.2
Designkitchen* [WPP (Y&R {Wunderman})],Chicago,"11,742",3
Archer Malmo,"Memphis, Tenn.","11,725",24.9
SS&K*,New York,"11,700",NA
Hirons & Co.,Indianapolis,"11,686",17.2
5W Public Relations,New York,"11,654",3
St. John & Partners Advertising & PR,"Jacksonville, Fla.","11,595",-2.9
Cranford Johnson Robinson Woods*,"Little Rock, Ark.","11,490",-8.1
IW Group* [Interpublic],"West Hollywood, Calif.","11,407",-0.4
O2 Ideas,"Birmingham, Ala.","11,377",-2
PJA Advertising & Marketing,"Cambridge, Mass.","11,377",-0.8
Roberts Communications,"Rochester, N.Y.","11,310",-0.1
"Aloysius, Butler & Clark","Wilmington, Del.","11,279",2
GlynnDevins Advertising & Marketing,"Overland Park, Kan.","11,264",-6.2
Sigma Marketing Group,"Rochester, N.Y.","11,222",10
Grafica,"Chester, N.J.","11,200",6.7
Ruth [Daniel J. Edelman],New York,"11,132",35.7
CRT/Tanaka,"Richmond, Va.","11,082",7
Boathouse Group,"Waltham, Mass.","11,000",6.8
Lapiz USA* [Publicis (Leo Burnett)],Chicago,"11,000",25
Saatchi & Saatchi Healthcare Innovations* [Publicis (PHCG)],"Yardley, Pa.","11,000",0
Machado Garcia Serra,Miami,"10,886",8.3
PBJS* [Publicis (MSL Group)],Seattle,"10,728",96.4
Acento,Los Angeles,"10,709",22.2
Connelly Partners,Boston,"10,700",12.6
Sloane & Co.* [MDC Partners],New York,"10,700",NA
M. Booth & Associates* [Next Fifteen Communications Group],New York,"10,675",NA
Atrinsic Interactive*,New York,"10,650",-49
Stephenz Group*,"San Jose, Calif.","10,630",7
Adams & Knight Communications,"Avon, Conn.","10,625",11.1
Bromley Communications* [Publicis],San Antonio,"10,618",-31
Fame* [Omnicom (TBWA)],Minneapolis,"10,600",65.6
Godfrey,"Lancaster, Pa.","10,500",41.9
The Gate Worldwide* [Media Square],New York,"10,500",5
Wpromote,"El Segundo, Calif.","10,500",26.5
DMW Worldwide,"Chesterbrook, Pa.","10,443",6.2
Lewis Communications,"Mobile, Ala.","10,336",23.9
Anthology Marketing Group,Honolulu,"10,331",-3.5
Slingshot*,Dallas,"10,312",2
Tris3ct,Chicago,"10,196",64.5
Deep Focus [Engine Group],New York,"10,192",23.7
Beanstalk* [Omnicom],New York,"10,100",8.7
Threshold Interactive,"Culver City, Calif.","10,088",20
Rhea & Kaiser Marketing Communications*,"Naperville, Ill.","10,075",-30.5
Accentmarketing* [Interpublic],"Coral Gables, Fla.","10,037",-4.4
Brand in Hand,"Santa Monica, Calif.","10,000",66.7
Cannonball Advertising,St. Louis,"10,000",0
Casanova Pendrill* [Interpublic (McCann)],"Costa Mesa, Calif.","10,000",0
Concept Farm*,New York,"10,000",-13
Evolution Bureau* [Omnicom],San Francisco,"10,000",100
Genuine Interactive,Boston,"10,000",100
Publicis Healthware International* [Publicis (PHCG)],"New York/Salerno, Italy","10,000",0
Sarkissian Mason,New York,"10,000",33.3
TPG* [Omnicom],Philadelphia,"10,000",24.3
FKQ Advertising & Marketing,"Clearwater, Fla.","9,994",0.7
WDFA Marketing*,San Francisco,"9,990",NA
Shift Communications,"Newton, Mass.","9,948",-6.5
Clarity Coverdale Fury,Minneapolis,"9,900",-3.9
Seiden Group,New York,"9,900",6.8
Bailey Lauerman,"Lincoln, Neb.","9,787",0.8
Admerasia,New York,"9,750",-9.3
IQ,Atlanta,"9,726",2.2
Palisades Media Group*,"Santa Monica, Calif.","9,720",16.1
Callahan Creek,"Lawrence, Kan.","9,708",-8.2
InterTrend Communications,"Long Beach, Calif.","9,700",-0.5
